equipo: 22, rating: 0.150527213646
equipo: 2, rating: 0.15751052392811
equipo: 13, rating: 0.15798884749445
equipo: 23, rating: 0.15898155811252
equipo: 17, rating: 0.16536881819509
equipo: 18, rating: 0.16565055570268
equipo: 19, rating: 0.16986085345204
equipo: 16, rating: 0.17045511032599
equipo: 25, rating: 0.17277805106834
equipo: 7, rating: 0.17298418037617
equipo: 29, rating: 0.1734709616594
equipo: 21, rating: 0.17514625484714
equipo: 14, rating: 0.17763550689002
equipo: 10, rating: 0.17905803878069
equipo: 4, rating: 0.1807988549775
equipo: 6, rating: 0.1825268056394
equipo: 8, rating: 0.18354992567058
equipo: 24, rating: 0.18397749788565
equipo: 15, rating: 0.18572418934254
equipo: 3, rating: 0.18711027664161
equipo: 28, rating: 0.18990131993162
equipo: 11, rating: 0.1900910215726
equipo: 0, rating: 0.19150093501694
equipo: 12, rating: 0.19501931675206
equipo: 1, rating: 0.19632363323981
equipo: 27, rating: 0.19882370553622
equipo: 20, rating: 0.20098092246398
equipo: 5, rating: 0.20578314580335
equipo: 26, rating: 0.21705491950935
equipo: 9, rating: 0.21809679070388
